Analyzing up to 1,000,000 ...
Sieve done in 0.73s

=== Record Setters (m where f(m) exceeds all prior f values) ===
         m    τ(m)    f(m)=m+τ  δ=τ(m)-1
---------------------------------------------
         1       1           2         0
         2       2           4         1
         3       2           5         1
         4       3           7         2
         6       4          10         3
         8       4          12         3
        10       4          14         3
        12       6          18         5
        15       4          19         3
        16       5          21         4
        18       6          24         5
        20       6          26         5
        24       8          32         7
        28       6          34         5
        30       8          38         7
        35       4          39         3
        36       9          45         8
        40       8          48         7
        42       8          50         7
        45       6          51         5
        48      10          58         9
        54       8          62         7
        56       8          64         7
        60      12          72        11
        66       8          74         7
        70       8          78         7
        72      12          84        11
        78       8          86         7
        80      10          90         9
        84      12          96        11
        90      12         102        11
        96      12         108        11
       100       9         109         8
       102       8         110         7
       104       8         112         7
       105       8         113         7
       108      12         120        11
       112      10         122         9
       117       6         123         5
       120      16         136        15
       126      12         138        11
       132      12         144        11
       138       8         146         7
       140      12         152        11
       144      15         159        14
       150      12         162        11
       156      12         168        11
       160      12         172        11
       165       8         173         7
       168      16         184        15
       176      10         186         9
       180      18         198        17
       192      14         206        13
       198      12         210        11
       200      12         212        11
       204      12         216        11
       208      10         218         9
       210      16         226        15
       216      16         232        15
       224      12         236        11
       228      12         240        11
       234      12         246        11
       240      20         260        19
       252      18         270        17
       260      12         272        11
       264      16         280        15
       270      16         286        15
       276      12         288        11
       280      16         296        15
       288      18         306        17
       300      18         318        17
       308      12         320        11
       312      16         328        15
       320      14         334        13
       324      15         339        14
       330      16         346        15
       336      20         356        19
       348      12         360        11
       350      12         362        11
       352      12         364        11
       357       8         365         7
       360      24         384        23
       378      16         394        15
       384      16         400        15
       390      16         406        15
       396      18         414        17
       400      15         415        14
       408      16         424        15
       414      12         426        11
       416      12         428        11
       420      24         444        23
       432      20         452        19
       440      16         456        15
       448      14         462        13
       450      18         468        17
       456      16         472        15
       462      16         478        15
       468      18         486        17
       476      12         488        11
       480      24         504        23
       495      12         507        11
       500      12         512        11
       504      24         528        23
       520      16         536        15
       525      12         537        11
       528      20         548        19
       540      24         564        23
       552      16         568        15
       558      12         570        11
       560      20         580        19
       570      16         586        15
       576      21         597        20
       588      18         606        17
       594      16         610        15
       600      24         624        23
       612      18         630        17
       616      16         632        15
       624      20         644        19
       630      24         654        23
       640      16         656        15
       648      20         668        19
       660      24         684        23
       672      24         696        23
       684      18         702        17
       690      16         706        15
       696      16         712        15
       700      18         718        17
       708      12         720        11
       714      16         730        15
       720      30         750        29
       740      12         752        11
       744      16         760        15
       750      16         766        15
       756      24         780        23
       768      18         786        17
       780      24         804        23
       792      24         816        23
       800      18         818        17
       810      20         830        19
       816      20         836        19
       825      12         837        11
       828      18         846        17
       836      12         848        11
       840      32         872        31
       858      16         874        15
       864      24         888        23
       880      20         900        19
       888      16         904        15
       896      16         912        15
       900      27         927        26
       912      20         932        19
       918      16         934        15
       920      16         936        15
       924      24         948        23
       936      24         960        23
       945      16         961        15
       950      12         962        11
       952      16         968        15
       960      28         988        27
       972      18         990        17
       980      18         998        17
       984      16        1000        15
       990      24        1014        23
      1000      16        1016        15
      1008      30        1038        29
      1020      24        1044        23
      1032      16        1048        15
      1040      20        1060        19
      1044      18        1062        17
      1050      24        1074        23
      1056      24        1080        23
      1071      12        1083        11
      1078      12        1090        11
      1080      32        1112        31
      1092      24        1116        23
      1100      18        1118        17
      1104      20        1124        19
      1110      16        1126        15
      1116      18        1134        17
      1120      24        1144        23
      1134      20        1154        19
      1140      24        1164        23
      1152      24        1176        23
      1168      10        1178         9
      1170      24        1194        23
      1176      24        1200        23
      1188      24        1212        23
      1200      30        1230        29
      1218      16        1234        15
      1224      24        1248        23
      1232      20        1252        19
      1240      16        1256        15
      1242      16        1258        15
      1248      24        1272        23
      1260      36        1296        35
      1280      18        1298        17
      1287      12        1299        11
      1288      16        1304        15
      1290      16        1306        15
      1296      25        1321        24
      1312      12        1324        11
      1314      12        1326        11
      1316      12        1328        11
      1320      32        1352        31
      1344      28        1372        27
      1350      24        1374        23
      1360      20        1380        19
      1365      16        1381        15
      1368      24        1392        23
      1380      24        1404        23
      1386      24        1410        23
      1392      20        1412        19
      1400      24        1424        23
      1404      24        1428        23
      1416      16        1432        15
      1422      12        1434        11
      1425      12        1437        11
      1428      24        1452        23
      1440      36        1476        35
      1464      16        1480        15
      1470      24        1494        23
      1480      16        1496        15
      1482      16        1498        15
      1485      16        1501        15
      1488      20        1508        19
      1496      16        1512        15
      1500      24        1524        23
      1512      32        1544        31
      1530      24        1554        23
      1536      20        1556        19
      1540      24        1564        23
      1548      18        1566        17
      1554      16        1570        15
      1560      32        1592        31
      1575      18        1593        17
      1584      30        1614        29
      1596      24        1620        23
      1600      21        1621        20
      1608      16        1624        15
      1610      16        1626        15
      1617      12        1629        11
      1620      30        1650        29
      1632      24        1656        23
      1638      24        1662        23
      1650      24        1674        23
      1656      24        1680        23
      1672      16        1688        15
      1674      16        1690        15
      1680      40        1720        39
      1710      24        1734        23
      1716      24        1740        23
      1728      28        1756        27
      1740      24        1764        23
      1750      16        1766        15
      1752      16        1768        15
      1755      16        1771        15
      1760      24        1784        23
      1764      27        1791        26
      1776      20        1796        19
      1782      20        1802        19
      1792      18        1810        17
      1800      36        1836        35
      1820      24        1844        23
      1824      24        1848        23
      1836      24        1860        23
      1848      32        1880        31
      1860      24        1884        23
      1870      16        1886        15
      1872      30        1902        29
      1890      32        1922        31
      1904      20        1924        19
      1908      18        1926        17
      1914      16        1930        15
      1920      32        1952        31
      1932      24        1956        23
      1944      24        1968        23
      1950      24        1974        23
      1960      24        1984        23
      1968      20        1988        19
      1974      16        1990        15
      1976      16        1992        15
      1980      36        2016        35
      2000      20        2020        19
      2010      16        2026        15
      2016      36        2052        35
      2040      32        2072        31
      2052      24        2076        23
      2064      20        2084        19
      2070      24        2094        23
      2079      16        2095        15
      2080      24        2104        23
      2088      24        2112        23
      2100      36        2136        35
      2112      28        2140        27
      2124      18        2142        17
      2128      20        2148        19
      2136      16        2152        15
      2142      24        2166        23
      2156      18        2174        17
      2160      40        2200        39
      2184      32        2216        31
      2200      24        2224        23
      2208      24        2232        23
      2220      24        2244        23
      2232      24        2256        23
      2240      28        2268        27
      2250      24        2274        23
      2256      20        2276        19
      2262      16        2278        15
      2268      30        2298        29
      2280      32        2312        31
      2300      18        2318        17
      2304      27        2331        26
      2310      32        2342        31
      2328      16        2344        15
      2336      12        2348        11
      2340      36        2376        35
      2352      30        2382        29
      2370      16        2386        15
      2376      32        2408        31
      2394      24        2418        23
      2400      36        2436        35
      2420      18        2438        17
      2424      16        2440        15
      2430      24        2454        23
      2436      24        2460        23
      2448      30        2478        29
      2460      24        2484        23
